,school_code,school_name,doro_zipcode,doroname,doroname_detail,si,gu
1467,7011311,서울항공비즈니스고등학교,7597,서울특별시 강서구 방화대로34길 13,(방화동),서울특별시,강서구
1468,7011311,서울항공비즈니스고등학교,7597,서울특별시 강서구 방화대로34길 13,(방화동),서울특별시,강서구
1469,7011311,서울항공비즈니스고등학교,7597,서울특별시 강서구 방화대로34길 13,(방화동),서울특별시,강서구
1470,7011311,서울항공비즈니스고등학교,7597,서울특별시 강서구 방화대로34길 13,(방화동),서울특별시,강서구
1471,7011311,서울항공비즈니스고등학교,7597,서울특별시 강서구 방화대로34길 13,(방화동),서울특별시,강서구
1472,7011311,서울항공비즈니스고등학교,7597,서울특별시 강서구 방화대로34길 13,(방화동),서울특별시,강서구
1473,7011311,서울항공비즈니스고등학교,7597,서울특별시 강서구 방화대로34길 13,(방화동),서울특별시,강서구
1474,7011311,서울항공비즈니스고등학교,7597,서울특별시 강서구 방화대로34길 13,(방화동),서울특별시,강서구
1475,7011311,서울항공비즈니스고등학교,7597,서울특별시 강서구 방화대로34길 13,(방화동),서울특별시,강서구
1476,7011311,서울항공비즈니스고등학교,7597,서울특별시 강서구 방화대로34길 13,(방화동),서울특별시,강서구
1477,7011311,서울항공비즈니스고등학교,7597,서울특별시 강서구 방화대로34길 13,(방화동),서울특별시,강서구
1478,7011311,서울항공비즈니스고등학교,7597,서울특별시 강서구 방화대로34길 13,(방화동),서울특별시,강서구
1479,7011311,서울항공비즈니스고등학교,7597,서울특별시 강서구 방화대로34길 13,(방화동),서울특별시,강서구
